location,latitude,longitude,price
Brooklyn,40.621078,-73.93837,210000.0
Brooklyn,40.688908,-73.941811,1100000.0
Brooklyn,40.679085,-73.910355,107500.0
Brooklyn,40.594307,-73.97065,350000.0
Brooklyn,40.62817,-73.934372,10.0
Brooklyn,40.695477,-73.928337,1900000.0
Brooklyn,40.66597,-73.989357,3160000.0
Brooklyn,40.595318,-73.932709,550000.0
Brooklyn,40.674225,-73.979637,163228.0
Brooklyn,40.660851,-73.921638,999999.0
Brooklyn,40.723282,-73.950691,1149000.0
Brooklyn,40.644493,-74.001297,1800.0
Brooklyn,40.680443,-73.994019,3075000.0
Brooklyn,40.678532,-73.998253,3500000.0
Brooklyn,40.588669,-73.939583,260000.0
Brooklyn,40.650169,-73.961792,1500000.0
Brooklyn,40.690285,-73.990219,875000.0
Brooklyn,40.719276,-73.960396,3350000.0
Brooklyn,40.609818,-73.982658,592000.0
Brooklyn,40.578918,-73.971062,485000.0
Brooklyn,40.60725,-73.907188,910000.0
Brooklyn,40.612846,-73.920204,1034000.0
Brooklyn,40.613449,-73.935059,710000.0
Brooklyn,40.627583,-74.015305,1135000.0
Brooklyn,40.675747,-73.97506,750000.0
Brooklyn,40.663486,-73.980736,825000.0
Brooklyn,40.597958,-73.932793,180000.0
Brooklyn,40.630253,-74.02697,1335000.0
Brooklyn,40.635681,-73.900429,637000.0
Brooklyn,40.575478,-73.96711,340000.0
Brooklyn,40.643749,-73.974831,185000.0
Brooklyn,40.609192,-73.945221,1180000.0
Brooklyn,40.657234,-73.999153,1200000.0
Brooklyn,40.673237,-73.967049,2275000.0
Brooklyn,40.696896,-73.994797,750000.0
Brooklyn,40.617199,-73.95565,835000.0
Brooklyn,40.687111,-73.944817,2325000.0
Brooklyn,40.619644,-73.999733,1535000.0
Brooklyn,40.663567,-73.938065,1200000.0
Brooklyn,40.626194,-73.986198,1629200.0
Brooklyn,40.618923,-74.007812,1160000.0
Brooklyn,40.680397,-73.994484,2140000.0
Brooklyn,40.668064,-73.990166,2525000.0
Brooklyn,40.687393,-73.970963,1810000.0
Brooklyn,40.623894,-73.979263,1225000.0
Brooklyn,40.650944,-73.925171,740000.0
Brooklyn,40.662731,-73.916504,615000.0
Brooklyn,40.663311,-73.943878,999000.0
Brooklyn,40.675278,-73.939812,1640000.0
Brooklyn,40.669373,-73.865936,610000.0
Brooklyn,40.606186,-73.947128,1325000.0
Brooklyn,40.71357,-73.965111,4000000.0
Brooklyn,40.603901,-73.980148,820000.0
Brooklyn,40.61544,-74.014107,1275000.0
Brooklyn,40.61581,-73.992805,1360000.0
Brooklyn,40.578365,-73.973373,325000.0
Brooklyn,40.605194,-74.012016,1150000.0
Brooklyn,40.62962,-73.923904,260000.0
Brooklyn,40.609352,-73.935013,800000.0
Brooklyn,40.593784,-73.943069,345000.0
Brooklyn,40.687965,-73.960205,1410000.0
Brooklyn,40.72842,-73.954781,775000.0
Brooklyn,40.631046,-74.001083,825000.0
Brooklyn,40.654537,-74.00132,580000.0
Brooklyn,40.598389,-73.933525,214000.0
Brooklyn,40.718441,-73.963882,1907724.0
Brooklyn,40.632797,-74.00248,1180000.0
Brooklyn,40.662106,-73.985199,325000.0
Brooklyn,40.609577,-73.968262,180000.0
Brooklyn,40.621319,-73.924416,900000.0
Brooklyn,40.72187,-73.937904,1725000.0
Brooklyn,40.602333,-73.937088,982500.0
Brooklyn,40.607742,-73.909492,1150000.0
Brooklyn,40.693771,-73.939064,1200000.0
